job_id,segment_index,segment,section_label
05b865e93e8e46579075562865973d3b,0,"Abbott is a global healthcare leader that helps people live more fully at all
stages of life.",About Company
05b865e93e8e46579075562865973d3b,94,"Our portfolio of life-changing technologies spans the spectrum
of healthcare, with leading businesses and products in diagnostics, medical
devices, nutritionals, and branded generic medicines.",About Company
05b865e93e8e46579075562865973d3b,287,"Our 109,000 colleagues
serve people in more than 160 countries.",About Company
05b865e93e8e46579075562865973d3b,353,"**Tissue Trainer – St. Paul, MN**",Job Title
05b865e93e8e46579075562865973d3b,388,"Our business purpose is to restore health and improve quality of life through
the design and provision of device and management solutions for the treatment
of STRUCTURAL HEART disease.",About Company
05b865e93e8e46579075562865973d3b,573,"We aim to lead the markets we serve by requiring
the solutions we offer customers provide an improved benefit/risk profile as
compared to existing standards of care; a performance threshold that by
definition, guides and ensures the productive output of our engineering,
business development, and clinical research efforts result in outcomes that
advance the standard of care.",About Company
05b865e93e8e46579075562865973d3b,951,**WHAT YOU’LL DO**,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,971,"We are recruiting for a Tissue Trainer located in St. Paul, MN.",Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,1035,"You are
responsible for the coordination, implementation, and execution of training
systems; including the development and innovation of training programs to
support manufacturing and peripheral groups.",Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,1238,"Coordinates the ongoing and
recurring system training of manufacturing training assistants.",Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,1330,"Implements and
maintains training system controls for manufacturing.",Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,1400,**_Responsibilities_**,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,1426,"* Reports to the Production Supervisor and is responsible for assembling, training, and leading a small team to assemble animal tissue (porcine and/or bovine) heart valve, in accordance with approved manufacturing and quality inspection procedures",Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,1677,* Will use existing MP’s and IP’s to train Tissue Valve Specialists one-on-one to meet specific certification requirements,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,1803,"* Will train their team to make sure production goals/metrics are met and will work with Supervisors, Engineers, and Managers to resolve line issues and implement improvements",Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,1982,* Will work directly with Engineers to update MP’s and IP’s,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,2045,* Will document required training and certification of team to ensure timely completion,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,2136,"* Will use computer to email production communications, print out processes, and input data into Excel",Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,2242,* Participate in performance assessments by reporting on their skill development and teamwork abilities,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,2349,"* Ensure certification, recertification, and training needs are completed by team and report gaps to Manufacturing Supervisors and/or Training Administration Team",Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,2515,* Will perform monthly line audits to ensure compliance for audit preparedness and to monitor process complaints,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,2631,* Solves complex problems requiring extensive interpretation of procedures and practices to provide leadership in evolving projects,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,2766,"* Selects methods and practices to solve problems using ingenuity, creativity, and a high degree of independent action and initiative",Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,2903,* Assist with interviewing of potential tissue valve specialist candidates,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,2981,* Assist with New Employee Orientation and associated training,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,3047,* 50% build of product,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,3073,* Assess yield improvements,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,3104,* Complete an additional Abbott-Sponsored Course determined by Supervisor,Job Responsibilities/Summary
05b865e93e8e46579075562865973d3b,3179,**EDUCATION AND EXPERIENCE YOU’LL BRING**,Job Skills/Requirements
05b865e93e8e46579075562865973d3b,3222,**_Required_**,Job Skills/Requirements
